timestamp_us,raw_reading
485830973,190691
485841153,193866
485851334,183029
485861514,195825
485871695,183290
485880178,192225
485890359,190634
485900539,184590
485910720,197760
485920900,180790
485931081,191163
485941262,194615
485951442,182631
485961623,195386
485970106,179779
485980287,193345
485990467,191722
486000648,184993
486010828,197060
486021009,180725
486031189,190885
486041370,194661
486051550,181834
486061731,195990
486070214,179895
486080395,192618
486090575,191469
486100756,184269
486110936,196590
486121117,181233
486131297,190375
486141478,194544
486151658,181969
486160142,198108
486170322,179363
486180503,192208
486190683,191722
486200864,184304
486211044,197151
486221225,181144
486231405,190214
486241586,194984
486251766,182005
486260250,197422
486270431,180215
486280611,192575
486290792,192472
486300972,184551
486311153,197479
486321333,181331
486331514,190185
486341694,194667
486350178,184965
486360359,198331
486370539,179933
486380720,192503
486390900,192594
486401081,184242
486411261,197299
486421442,181645
486431622,190074
486441803,195507
486450286,185914
486460467,197768
486470647,180323
486480828,192464
486491008,193291
486501189,182863
486511369,197171
486521549,181793
486531730,189864
486540214,189435
486550394,185717
486560574,198108
486570755,179595
486580935,192028
486591116,193283
486601296,184106
486611476,196892
486621657,182165
486631837,189549
486640321,189423
486650501,185446
486660682,197345
486670862,180349
486681043,192068
486691223,193625
486701404,183689
486711584,196618
486721764,182381
486730248,193459
486740429,188941
486750609,185046
486760789,197869
486770970,180272
486781150,191918
486791331,193640
486801511,182607
486811692,196667
486821872,182212
486830356,193667
486840536,189979
486850717,185696
486860897,197536
486871078,180080
486881258,191470
486891439,193588
486901619,183442
486911800,196432
486920283,179835
486930464,194087
486940644,190474
486950825,184759
486961005,197713
486971186,180178
486981366,191350
486991546,194160
487001727,183838
487011907,197218
487020391,179432
487030571,192874
487040752,190553
487050932,184881
487061112,197677
487071293,181162
487081473,191414
487091654,194708
487101834,183962
487110318,198286
487120498,179640
487130679,193370
487140859,190764
487151039,184621
487161220,197952
487171400,180569
487181581,191628
487191761,194457
487201941,182968
487210425,198153
487220605,179577
487230786,193312
487240966,191565
487251147,184698
487261327,197905
487271507,181743
487281688,191138
487291868,194901
487300352,186735
487310532,198219
487320713,179703
487330893,192811
487341074,191314
487351254,184959
487361434,197557
487371615,181450
487381795,191270
487391976,194584
487400459,186534
487410640,197724
487420820,180015
487431001,193134
487441182,191522
487451362,184048
487461543,197620
487471723,181515
487481903,191404
487490387,188040
487500568,186440
487510748,197826
487520928,179522
487531109,192273
487541289,192011
487551470,184686
487561650,197403
487571831,181204
487582011,190683
487590495,187860
487600675,186392
487610856,198070
487621036,180182
487631216,192503
487641397,192565
487651577,184558
487661758,197662
487671938,181681
487680422,194220
487690602,188472
487700783,186276
487710963,198733
487721143,179662
487731324,192124
487741504,192307
487751685,184304
487761870,197169
487770360,179304
487780548,194667
487790735,188826
487800923,186431
487811070,198056
487821251,179484
487831431,192592
487841612,192398
487851792,184422
487861973,197146
487870456,180485
487880637,193816
487890817,188581
487900998,186027
487911178,198287
487921359,180328
487931539,192499
487941720,193553
487951900,183986
487960384,197796
487970564,179696
487980745,193638
487990925,188787
488001106,185854
488011286,197877
488021467,180144
488031647,192178
488041827,193599
488052008,184067
488060492,197502
488070672,179449
488080853,194128
488091033,189112
488101213,185507
488111394,198155
488121574,180002
488131755,192629
488141935,193518
488150419,186931
488160600,197661
488170780,180171
488180961,192993
488191141,188923
488201321,185536
488211502,197677
488221682,180628
488231863,191926
488242043,193835
488250527,186934
488260707,197745
488270888,180260
488281068,193633
488291249,189920
488301429,185110
488311609,197591
488321790,181271
488331970,192482
488340454,186445
488350634,186752
488360815,197447
488370995,179690
488381176,193056
488391356,189868
488401537,185435
488411717,197894
488421898,180885
488430382,195234
488440562,186269
488450743,186079
488460923,197788
488471104,179008
488481284,193698
488491465,190287
488501645,184887
488511826,197843
488522006,180328
488530490,195204
488540670,186684
488550851,187000
488561032,197978
488571212,179487
488581393,193677
488591573,190975
488601754,184975
488611934,197418
488620418,179696
488630598,194842
488640779,186485
488650959,186789
488661140,198081
488671320,179723
488681501,192797
488691681,189988
488701862,184810
488712042,197464
488720526,179369
488730706,194699
488740887,186278
488751067,186257
488761248,198042
488771428,179864
488781609,192898
488791789,191386
488801970,184640
488810453,197381
488820634,180506
488830814,193592
488840995,187596
488851175,186627
488861356,198151
488871536,179848
488881716,193093
488891897,191580
488902077,184578
488910561,197107
488920741,179736
488930921,195117
488941102,187725
488951282,186189
488961463,197887
488971643,179759
488981824,192518
488992004,191886
489000488,187804
489010668,196916
489020849,179543
