time_us         delay   reading
79529927        120     23
79531105        117     22
79532282        118     21
79533459        118     23
79534637        119     24
79535815        118     22
79536992        118     22
79538169        120     22
79539347        117     25
79540524        118     23
79541702        117     22
79542879        118     22
79544056        119     23
79545234        117     22
79546411        118     24
79547588        118     24
79548766        118     23
79549943        117     22
79551121        119     23
79552298        117     23
79553475        120     22
79554653        117     23
79555830        118     23
79557007        121     23
79558184        119     22
79559362        119     22
79560539        119     23
79561717        117     23
79562894        118     22
79564071        118     23
79565248        120     21
79566426        119     23
79567603        117     24
79568781        117     23
79569958        120     23
79571135        122     22
79572312        122     24
79573489        118     23
79574667        117     21
79575844        118     20
79577022        120     23
79578199        115     25
79579376        119     24
79580553        119     22
79581731        119     23
79582908        121     23
79584085        119     22
79585262        118     20
79586440        119     23
79587617        118     24
79588794        120     23
79589972        121     24
79591149        118     22
79592326        120     24
79593503        120     22
79594681        121     23
79595858        121     21
79597035        122     24
79598212        115     23
79599390        117     23
79600568        119     24
79601745        118     24
79602922        117     24
79604099        118     24
79605277        117     22
79606454        119     22
79607632        119     23
79608809        117     23
79609986        119     22
79611164        116     22
79612341        116     24
79613518        117     22
79614696        116     24
79615873        118     23
79617051        117     23
79618228        118     21
79619406        117     22
79620583        118     22
79621761        117     22
79622938        117     22
79624115        119     23
79625293        118     22
79626471        118     22
79627648        117     23
79628824        119     23
79630003        117     24
79631179        119     24
79632357        119     22
79633534        117     22
79634711        120     23
79635889        119     21
79637066        115     24
79638244        118     23
79639421        116     25
79640598        118     24
79641775        119     22
79642953        118     23
79644131        117     23
79645308        118     24
79646485        118     21
79647663        120     22
79648840        120     22
79650018        120     21
79651195        118     21
79652373        120     22
79653551        119     21
79654728        118     22
79655905        116     24
79657082        119     24
79658260        119     23
79659437        118     23
79660614        117     24
79661791        116     23
79662969        118     24
79664146        120     21
79665323        119     24
79666501        117     23
79667678        120     21
79668856        118     23
79670033        121     22
79671210        119     22
79672388        118     21
79673565        119     22
79674743        119     24
79675921        118     23
79677098        121     22
79678276        120     22
79679452        118     24
79680630        120     23
79681808        119     24
79682985        120     23
79684162        119     22
79685340        114     24
79686517        118     23
79687695        118     23
79688872        116     21
79690049        117     21
79691227        118     22
79692405        119     24
79693582        117     25
79694759        119     23
79695937        120     22
79697114        118     23
79698291        120     23
79699469        120     22
79700647        122     20
79701824        118     24
79703002        119     21
79704179        122     23
79705357        120     22
79706534        118     23
79707711        117     22
79708889        121     22
79710066        117     22
79711244        120     23
79712421        119     22
79713598        120     24
79714776        118     24
79715953        117     23
79717130        119     22
79718308        118     22
79719486        118     23
79720662        116     23
79721840        120     23
79723017        117     22
79724194        120     22
79725372        119     23
79726549        120     22
79727726        119     23
79728904        118     23
79730081        119     24
79731259        118     22
79732436        119     22
79733614        119     23
79734791        119     23
79735968        118     22
79737146        120     23
79738323        119     22
79739500        117     24
79740678        119     24
79741855        121     22
79743033        121     23
79744210        120     23
79745388        117     23
79746566        118     24
79747743        118     21
79748919        122     24
79750097        119     23
79751274        118     23
79752452        117     22
79753629        121     24
79754807        117     23
79755985        121     23
79757162        117     21
79758339        121     24
79759517        117     23
79760695        119     24
79761872        118     23
79763049        117     23
79764227        117     23
79765404        119     21
79766582        121     22
79767759        119     23
79768936        120     21
79770114        120     21
79771291        117     24
79772468        118     23
79773646        118     21
79774823        118     22
79776001        120     21
79777178        116     22
79778355        119     22
79779533        122     23
79780710        117     22
79781887        118     23
79783065        119     22
79784243        119     24
79785420        119     21
79786597        118     21
79787774        118     23
79788952        118     23
79790129        117     22
79791307        122     20
79792484        120     24
79793661        121     23
79794839        119     24
79796016        118     23
79797193        118     21
79798371        119     22
79799548        118     22
79800726        121     21
79801903        116     24
79803080        121     22
79804258        117     23
79805435        117     22
79806613        119     22
79807790        119     22
79808968        117     23
79810145        116     22
79811323        116     22
79812500        118     22
79813677        117     23
79814855        118     22
79816032        122     23
79817210        117     23
79818388        120     21
79819564        118     26
79820742        116     23
79821920        117     22
79823097        118     24
79824274        117     23
79825451        116     24
79826629        116     22
79827806        116     22
79828983        118     23
79830160        117     23
79831338        119     23
79832515        121     21
79833692        118     24
79834870        121     23
79836047        119     25
79837224        121     23
79838403        120     24
79839580        118     23
79840757        114     22
79841935        116     24
79843113        122     24
79844290        121     22
79845467        119     24
79846645        120     24
79847822        119     23
79849000        118     24
79850178        117     22
79851355        120     23
79852532        117     23
79853710        119     24
79854887        119     24
79856065        121     21
79857242        119     24
79858420        118     23
79859597        117     21
79860775        121     22
79861952        121     24
79863129        116     22
79864306        119     21
79865484        120     23
79866661        120     22
79867839        118     22
79869017        119     23
79870194        116     22
79871372        118     22
79872549        120     22
79873727        120     25
79874904        116     24
79876081        121     24
79877259        121     25
79878436        116     22
79879614        119     22
79880791        120     25
79881968        118     23
79883145        119     21
79884323        119     23
79885500        120     22
79886677        119     21
79887855        117     24
79889033        120     23
79890210        120     22
79891387        118     23
79892564        118     22
79893742        119     23
79894919        117     22
79896097        117     24
79897274        117     24
79898451        117     21
79899628        119     24
79900806        120     23
79901984        116     22
79903161        117     22
79904338        122     24
79905515        121     24
79906693        120     21
79907870        119     24
79909048        118     22
79910225        121     22
79911402        118     24
79912580        119     24
79913757        119     25
79914935        118     23
79916113        120     23
79917289        121     23
79918466        116     21
79919643        121     22
79920821        119     22
79921998        118     22
79923175        119     22
79924353        117     22
79925530        118     23
79926708        116     24
79927886        116     23
79929063        118     23
79930241        118     23
79931418        115     23
79932595        120     21
79933773        121     23
79934950        119     22
79936128        117     22
79937305        117     24
79938482        119     23
79939660        120     25
79940837        118     24
79942015        118     23
79943192        121     23
79944369        120     23
79945547        120     23
79946724        118     23
79947901        120     25
79949078        118     23
79950256        121     22
79951433        122     22
79952611        119     22
79953788        118     23
79954966        117     24
79956142        118     22
79957320        118     22
79958497        118     23
79959674        119     23
79960852        118     23
79962029        118     24
79963206        117     23
79964384        118     24
79965561        120     23
79966739        119     23
79967916        116     22
79969094        115     23
79970271        118     23
79971449        120     23
79972626        117     23
79973804        122     21
79974981        119     22
79976159        120     22
79977336        119     21
79978514        122     24
79979692        116     22
79980869        119     23
79982046        119     21
79983224        120     22
79984401        117     23
79985578        122     22
79986755        119     23
79987933        121     22
79989110        114     23
79990288        115     23
79991465        117     23
79992643        117     22
79993820        119     23
79994998        119     22
79996175        117     23
79997352        119     24
79998530        119     23
79999707        117     24
80000885        119     23
80002062        119     24
80003239        117     23
80004416        119     23
80005594        122     22
80006772        117     23
80007949        118     24
80009126        118     23
80010304        120     25
80011481        119     23
80012658        116     21
80013836        120     23
80015012        119     21
80016190        120     22
80017367        115     23
80018544        120     24
80019722        118     24
80020899        120     22
80022076        118     22
80023254        123     21
80024432        117     23
80025608        118     23
80026785        117     22
80027962        117     21
80029139        120     25
80030318        121     22
80031494        117     24
80032672        117     22
80033849        116     22
80035026        119     22
80036204        119     23
80037382        117     24
80038559        118     23
80039736        117     23
80040914        115     23
80042091        118     23
80043268        124     23
80044446        120     21
80045623        118     23
80046800        117     22
80047978        121     23
80049156        119     22
80050333        119     24
80051510        119     21
80052688        120     22
80053865        125     23
80055043        117     23
80056220        117     22
80057397        120     23
80058575        117     21
80059752        119     24
80060929        121     23
80062107        119     22
80063284        117     23
80064461        117     24
80065639        121     21
80066816        118     21
80067994        116     23
80069172        117     22
80070348        118     22
80071526        116     24
80072703        121     23
80073881        119     23
80075058        122     22
80076236        122     24
80077413        117     23
80078590        117     23
80079768        117     24
80080944        119     23
80082123        119     22
80083300        118     22
80084477        120     22
80085654        117     22
80086831        121     22
80088009        125     21
80089186        120     22
80090363        117     21
80091541        117     24
80092718        120     24
80093896        118     21
80095073        119     23
80096250        119     21
80097428        117     21
80098605        116     24
80099783        116     21
80100960        119     23
80102138        118     23
80103315        118     23
80104492        119     22
80105670        123     20
80106847        120     22
80108024        121     23
80109201        117     22
80110379        117     23
80111556        118     24
80112734        117     22
80113911        117     20
80115089        119     23
80116266        115     24
80117445        118     23
80118621        119     23
80119798        117     24
80120976        122     23
80122153        120     22
80123330        119     24
80124508        118     23
80125685        121     22
80126862        117     23
80128040        121     22
80129217        119     23
80130394        121     21
80131571        118     21
80132749        116     25
80133926        121     22
80135103        117     24
80136280        117     23
80137459        119     21
80138635        119     22
80139813        118     23
80140991        118     23
80142167        120     24
80143345        115     22
80144522        117     22
80145700        117     24
80146876        118     24
80148054        119     23
80149231        114     22
80150409        117     24
80151586        120     23
80152764        119     22
80153941        117     22
80155119        119     23
80156296        118     24
80157473        121     23
80158650        120     22
80159828        120     23
80161005        119     22
80162183        119     23
80163360        117     23
80164538        117     24
80165715        119     23
80166893        117     22
80168070        116     21
80169248        120     22
80170425        117     23
80171603        119     22
80172781        118     23
80173957        119     23
80175135        117     23
80176312        117     22
80177489        119     22
80178667        118     24
80179844        118     23
80181021        119     23
80182199        116     23
80183376        117     23
80184554        119     22
80185730        121     23
80186908        118     22
80188085        121     21
80189262        117     21
80190440        117     23
80191617        119     22
80192794        118     22
80193971        120     20
80195149        117     24
80196326        118     21
80197504        117     22
80198681        117     23
80199859        118     23
80201036        116     24
80202213        117     23
80203391        118     21
80204568        117     22
80205746        118     23
80206923        118     22
80208100        118     23
80209277        118     22
80210455        121     23
80211632        118     23
80212811        121     22
80213987        119     23
80215165        119     23
80216342        116     23
80217519        119     24
80218696        119     23
80219874        121     22
80221051        117     22
80222229        121     22
80223406        117     24
80224584        116     23
80225760        118     23
80226938        120     23
80228116        118     23
80229293        116     25
80230471        116     24
80231648        117     22
80232826        118     23
80234003        117     23
80235180        118     24
80236358        119     21
80237535        116     23
80238712        117     23
80239889        118     26
80241067        116     24
80242244        116     23
80243421        116     22
80244599        117     22
80245777        117     22
80246954        121     22
80248131        122     23
80249309        117     22
80250487        117     22
80251664        121     23
80252841        118     23
80254018        121     22
80255196        119     24
80256373        118     23
80257551        115     22
80258729        117     23
80259906        118     23
80261083        119     22
80262260        116     24
80263438        118     23
80264616        118     22
80265793        119     22
80266971        115     23
80268147        120     21
80269324        117     24
80270502        120     23
80271680        116     24
80272857        120     21
80274034        119     22
80275212        122     26
80276389        118     25
80277567        118     22
80278744        120     22
80279921        118     23
80281099        120     22
80282276        117     23
80283454        120     23
80284631        117     22
80285808        118     21
80286986        116     21
80288163        121     23
80289341        117     23
80290518        119     23
80291696        117     23
80292874        117     22
80294050        118     24
80295228        117     24
80296406        118     23
80297583        120     22
80298760        118     23
80299938        119     23
80301115        118     23
80302293        119     24
80303471        119     23
80304647        117     24
80305824        116     22
80307002        124     23
80308179        117     24
80309357        121     22
80310534        118     22
80311711        120     23
80312889        118     23
80314066        118     23
80315244        117     22
80316421        116     22
80317598        118     21
80318776        116     25
80319953        117     21
80321131        118     23
80322308        119     22
80323486        117     23
80324663        118     23
80325840        115     24
80327017        121     24
80328194        118     23
80329373        118     24
80330549        118     22
80331727        121     23
80332904        117     23
80334081        117     24
80335259        116     23
80336436        115     22
80337613        117     23
80338790        116     22
80339968        121     22
80341145        116     24
80342323        117     23
80343500        120     23
80344677        118     23
80345855        122     22
80347033        119     24
80348210        121     22
80349387        117     22
80350565        119     22
80351743        119     22
80352920        116     22
80354098        118     22
80355275        122     22
80356452        119     22
80357630        119     22
80358807        117     21
80359985        118     22
80361162        118     22
80362339        119     23
80363517        119     23
80364693        118     22
80365871        121     23
80367049        119     23
